Periodo,Pi,U
2005/01,4.54,3.630075276
2005/02,4.27,3.550511365
2005/03,4.39,3.632276103
2005/04,4.6,3.567100958
2005/05,4.6,3.677516647
2005/06,4.33,3.745525574
2005/07,4.47,3.57596664
2005/08,3.95,3.435115536
2005/09,3.51,3.340463754
2005/10,3.05,3.260606976
2005/11,2.91,3.152875146
2005/12,3.33,3.172996006
2006/01,3.94,3.195447542
2006/02,3.75,3.521331407
2006/03,3.41,3.336206241
2006/04,3.2,3.383200428
2006/05,3,3.146090554
2006/06,3.18,3.509737887
2006/07,3.06,3.664939067
2006/08,3.47,3.615803716
2006/09,4.09,3.727749825
2006/10,4.29,3.676534413
2006/11,4.09,3.747474094
2006/12,4.05,3.790673635
2007/01,3.98,3.720183503
2007/02,4.11,3.814952359
2007/03,4.21,3.801973326
2007/04,3.99,3.691687979
2007/05,3.95,3.466774153
2007/06,3.98,3.544613972
2007/07,4.14,3.485133813
2007/08,4.03,3.568339669
2007/09,3.79,3.508952104
2007/10,3.74,3.625232573
2007/11,3.93,3.563920647
2007/12,3.76,3.526503114
2008/01,3.7,3.804524663
2008/02,3.72,3.677206984
2008/03,4.25,3.765026469
2008/04,4.55,3.624437713
2008/05,4.95,3.57823273
2008/06,5.26,3.620361743
2008/07,5.39,3.838202718
2008/08,5.57,3.761198037
2008/09,5.47,3.86334705
2008/10,5.78,4.012094801
2008/11,6.23,4.555848472
2008/12,6.53,4.54522591
2009/01,6.28,4.653561775
2009/02,6.2,4.99610555
2009/03,6.04,4.963169727
2009/04,6.17,5.218344653
2009/05,5.98,5.596860076
2009/06,5.74,5.298439156
2009/07,5.44,5.451635049
2009/08,5.08,5.674862739
2009/09,4.89,6.004866026
2009/10,4.5,5.471014061
2009/11,3.86,5.318638629
2009/12,3.57,5.30670713
2010/01,4.46,5.460958158
2010/02,4.83,5.194857318
2010/03,4.97,5.185982755
2010/04,4.27,5.481922233
2010/05,3.92,5.264060898
2010/06,3.69,5.168177377
2010/07,3.64,5.356485548
2010/08,3.68,4.950339905
2010/09,3.7,5.251995993
2010/10,4.02,5.486148465
2010/11,4.32,5.380162698
2010/12,4.4,5.496287914
2011/01,3.78,5.071062921
2011/02,3.57,5.226583229
2011/03,3.04,4.988253938
2011/04,3.36,5.179824018
2011/05,3.25,5.370505115
2011/06,3.28,5.563670325
